Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
1,Rider,Toni Elías,32.776229370886284,0.8123833108071058,30.339079438464967,79,2013-08-31,Kalex [2013],Moto2,
2,Bike,Moriwaki [2010],26.775116854692715,1.1134342772907595,23.434814022820436,33,2010-11-06,,Moto2,
3,Rider,Julián Simón,30.55100254188873,0.7169651890559171,28.40010697472098,227,2017-04-08,Kalex [2017],Moto2,
4,Bike,RSV [2010],25.892897867969598,2.742801782129729,17.66449252158041,4,2010-05-01,,Moto2,
5,Rider,Stefan Bradl,35.90744354890424,0.8807922272239447,33.265066867232406,65,2011-11-05,Kalex [2011],Moto2,
6,Bike,Suter [2010],25.702557875201798,1.0979827389170038,22.408609658450786,33,2010-11-06,,Moto2,
7,Rider,Alex de Angelis,31.99583017271407,0.730648721870346,29.80388400710303,148,2017-10-28,Kalex [2017],Moto2,
8,Bike,Scot [2010],24.498253768660398,1.509747408309292,19.96901154373252,16,2010-07-17,,Moto2,
9,Rider,Yuki Takahashi,29.777538314360996,0.745654242580336,27.540575586619987,127,2015-10-10,Moriwaki [2015],Moto2,
10,Bike,Tech 3 [2010],27.204152498778548,1.0860746504914904,23.945928547304078,33,2010-11-06,,Moto2,
11,Rider,Jules Cluzel,32.70684107357916,0.8416895688773169,30.18177236694721,67,2011-11-05,Suter [2011],Moto2,
12,Rider,Raffaele De Rosa,26.756036456938652,0.87417051962849,24.13352489805318,59,2011-11-05,Suter [2011],Moto2,
13,Rider,Alex Debón,24.798543784524234,1.175093841363435,21.27326226043393,28,2010-11-06,FTR [2010],Moto2,
14,Bike,FTR [2010],32.23985798146755,1.134483856278714,28.83640641263141,31,2010-11-06,,Moto2,
15,Rider,Shoya Tomizawa,35.748685433272485,1.3904341311261081,31.57738303989416,20,2010-09-04,Suter [2010],Moto2,
16,Rider,Alex Baldolini,27.03005174101582,0.8632310609475137,24.44035855817328,61,2011-11-05,Moriwaki [2011],Moto2,
17,Bike,ICP [2010],28.151509276501052,1.082525679444803,24.903932238166643,33,2010-11-06,,Moto2,
18,Rider,Sergio Gadea,27.30490298044219,1.0431221229774392,24.175536611509873,37,2013-04-06,Suter [2013],Moto2,
19,Bike,Pons Kalex [2010],27.935554779511754,1.0864085052477002,24.676329263768654,33,2010-11-06,,Moto2,
20,Rider,Roberto Rolfo,28.598294282626064,0.8777117654979911,25.96515898613209,59,2014-11-08,Suter [2014],Moto2,
21,Rider,Mike Di Meglio,28.816295441327078,0.7456186212293437,26.579439577639047,118,2013-08-24,Motobi [2013],Moto2,
22,Rider,Gábor Talmácsi,32.33015300300829,1.0925921729370744,29.05237648419707,33,2010-11-06,Speed Up [2010],Moto2,
23,Bike,Speed Up [2010],26.25642347629809,1.1092549899029878,22.928658506589127,33,2010-11-06,,Moto2,
24,Rider,Niccolò Canepa,25.345863190228574,1.3168486445845127,21.395317256475035,22,2010-09-18,Bimota [2010],Moto2,
25,Rider,Thomas Luthi,30.649985083974492,0.7196662392968132,28.49098636608405,371,2021-11-13,Kalex [2021],Moto2,
26,Rider,Scott Redding,37.44159388023575,0.7490983463232707,35.19429884126594,131,2013-11-09,Kalex [2013],Moto2,
27,Rider,Mattia Pasini,28.674651560474434,0.7207031482005362,26.512542115872826,274,2025-08-16,Kalex [2025],Moto2,
28,Bike,Motobi [2010],26.361322708769276,1.0978675055332991,23.06772019216938,33,2010-11-06,,Moto2,
29,Rider,Ratthapark Wilairot,25.167214082481195,0.726257064646238,22.98844288854248,167,2016-11-12,Kalex [2016],Moto2,
30,Bike,Bimota [2010],25.259123071672896,1.1070548932900866,21.937958391802635,33,2010-11-06,,Moto2,
31,Rider,Dominique Aegerter,30.23042626854474,0.7166074496039173,28.080603919732987,328,2020-11-21,NTS [2020],Moto2,
32,Rider,Andrea Iannone,37.6424217909985,0.776270198359037,35.31361119592139,101,2012-11-10,Speed Up [2012],Moto2,
33,Rider,Arne Tode,28.247331652648906,1.3634586746434871,24.156955628718446,20,2010-08-28,Suter [2010],Moto2,
34,Rider,Karel Abraham,27.45104465662747,1.2127492117693286,23.812797021319483,27,2010-11-06,FTR [2010],Moto2,
35,Rider,Fonsi Nieto,28.199368758277704,1.1582144611871037,24.724725374716392,29,2010-11-06,Moriwaki [2010],Moto2,
36,Rider,Lukáš Pešek,24.838015323113872,1.3077549927837442,20.914750344762638,22,2010-09-04,Moriwaki [2010],Moto2,
37,Rider,Simone Corsi,27.425826709770533,0.7242830350845251,25.252977604516957,420,2024-11-16,Kalex [2024],Moto2,
38,Rider,Yonny Hernández,29.33298504404023,0.8216088228728774,26.8681585754216,72,2017-07-01,Kalex [2017],Moto2,
39,Bike,BQR [2010],25.81508717584956,1.1068485470754599,22.49454153462318,33,2010-11-06,,Moto2,
40,Rider,Claudio Corti,32.21307528872015,0.7775639317587388,29.880383493443933,91,2012-09-29,Kalex [2012],Moto2,
41,Rider,Valentin Debise,26.004228100283065,0.8467038989058536,23.464116403565505,66,2011-11-05,FTR [2011],Moto2,
42,Bike,ADV [2010],22.308864601352813,1.0941137060628399,19.026523483164294,33,2010-11-06,,Moto2,
