Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
1,Rider,Maverick Viñales,39.680934540777415,1.230776986904265,35.98860358006462,32,2013-11-09,KTM [2013],Moto3,
2,Bike,FTR Honda [2012],26.69982209989072,1.4911008494545,22.226519551527222,17,2012-11-10,,Moto3,
3,Rider,Romano Fenati,30.62477868349501,0.7380559785043584,28.410610747981934,154,2023-11-18,Honda NSF250RW [2023],Moto3,
4,Rider,Sandro Cortese,38.53345735053923,1.6494455336244043,33.58512074966602,17,2012-11-10,KTM [2012],Moto3,
5,Bike,KTM [2012],30.997734758527365,1.5152518670123285,26.451979157490378,17,2012-11-10,,Moto3,
6,Rider,Luis Salom,39.56939137637507,1.1859559581963945,36.01152350178589,34,2013-11-09,KTM [2013],Moto3,
7,Bike,Kalex KTM [2012],23.79118301428474,1.5083827839782527,19.26603466234998,17,2012-11-10,,Moto3,
8,Rider,Miguel Oliveira,35.98317878903115,0.8693483875772788,33.375133626299316,68,2015-11-07,KTM RC 250 GP [2015],Moto3,
9,Bike,Suter Honda [2012],22.83268562507115,1.4872275550698213,18.371002959861684,17,2012-11-10,,Moto3,
10,Rider,Zulfahmi Khairuddin,25.601990321647587,0.8450219051436533,23.066924606216627,69,2015-11-07,KTM RC 250 GP [2015],Moto3,
11,Rider,Arthur Sissis,26.526769888426845,0.9897351316395038,23.557564493508334,44,2014-08-16,Mahindra MGP3O [2014],Moto3,
12,Rider,Danny Kent,32.49100790373232,0.9350586035562065,29.6858320930637,54,2017-07-01,KTM RC 250 GP [2017],Moto3,
13,Rider,Louis Rossi,28.449177833306447,1.5109080827918908,23.916453584930775,17,2012-11-10,FTR Honda [2012],Moto3,
14,Rider,Álex Rins,37.13913904005459,0.9725247971877908,34.22156464849122,52,2014-11-08,Honda [2014],Moto3,
15,Rider,Alan Techer,27.95372740789019,1.1500235362605462,24.503656799108555,31,2013-10-26,TSR Honda [2013],Moto3,
16,Bike,TSR Honda [2012],25.900379003141136,1.4823495020634807,21.453330496950695,17,2012-11-10,,Moto3,
17,Rider,Héctor Faubel,34.48446241660822,1.7450117028558563,29.249427308040648,12,2012-11-10,FTR Honda [2012],Moto3,
18,Rider,Niklas Ajo,24.732414746100225,0.8891463353828872,22.064975739951564,59,2015-08-08,KTM RC 250 GP [2015],Moto3,
19,Rider,Alberto Moncayo,30.42483782094916,1.535526392928409,25.818258642163933,16,2012-10-27,FTR Honda [2012],Moto3,
20,Rider,Jakub Kornfeil,29.716496141223228,0.7366971773404083,27.506404609202004,140,2019-11-16,KTM RC 250 GP [2019],Moto3,
21,Rider,Efrén Vázquez,31.638194554745084,0.8641100613691359,29.045864370637677,67,2015-11-07,Honda NSF250RW [2015],Moto3,
22,Bike,Honda [2012],24.722474265856963,1.5211467271848964,20.159034084302274,17,2012-11-10,,Moto3,
23,Rider,Niccolò Antonelli,28.508799748343513,0.733168784253157,26.309293395584042,159,2021-11-13,KTM RC 250 GP [2021],Moto3,
24,Rider,Daniel Webb,27.373702868312453,1.3390625776234302,23.356515135442162,22,2016-07-16,Mahindra MGP3O [2016],Moto3,
25,Bike,Mahindra MGP3O [2012],22.05656170988949,1.5711838745770657,17.343010086158294,17,2012-11-10,,Moto3,
26,Rider,Iván Moreno,26.393104982979597,1.9731490188419238,20.473657926453825,9,2012-07-14,FTR Honda [2012],Moto3,
27,Rider,Adrián Martín,25.08173304760734,1.5385807259984345,20.465990869612035,16,2012-11-10,FTR Honda [2012],Moto3,
28,Rider,Kenta Fujii,24.91828900757962,1.488106245754717,20.45397027031547,17,2012-11-10,TSR Honda [2012],Moto3,
29,Rider,Simone Grotzkyj Giorgi,28.041281025410132,2.1495488969824676,21.59263433446273,8,2012-07-14,Suter Honda [2012],Moto3,
30,Bike,Oral [2012],22.38933117245129,3.180144649614746,12.848897223607052,3,2012-05-05,,Moto3,
31,Rider,Toni Finsterbusch,24.416728691564913,1.1531662227686779,20.95723002325888,32,2013-11-09,Kalex KTM [2013],Moto3,
32,Bike,MZ-RE Honda [2012],25.499564039833885,4.2736348885468765,12.678659374193256,1,2012-04-08,,Moto3,
33,Rider,Jasper Iwema,25.0279529437259,1.0906956266807257,21.755866063683722,36,2014-11-08,Mahindra MGP3O [2014],Moto3,
34,Bike,FGR Honda [2012],24.960304227259776,1.5464089386866426,20.32107741119985,16,2012-11-10,,Moto3,
35,Rider,Jack Miller,33.18530121681591,0.9712090594424083,30.271674038488683,49,2014-11-08,KTM [2014],Moto3,
36,Rider,Jonas Folger,36.367277541661394,1.1820953606256621,32.82099145978441,31,2013-11-09,Kalex KTM [2013],Moto3,
37,Bike,Ioda [2012],15.581359069516797,1.565980515715173,10.883417522371278,16,2012-11-10,,Moto3,
38,Rider,Luigi Morciano,32.65694564408376,1.6947933848385295,27.572565489568174,13,2012-11-10,Ioda [2012],Moto3,
39,Rider,Brad Binder,33.07352491357076,0.808366234430856,30.64842621027819,88,2016-11-12,KTM RC 250 GP [2016],Moto3,
40,Rider,Marcel Schrötter,28.29007949824115,2.09013089896571,22.01968680134402,8,2012-07-07,Mahindra MGP3O [2012],Moto3,
41,Rider,Alexis Masbou,30.292481104479073,0.8395450736800154,27.773845883439026,72,2016-07-16,Peugeot MGP3O [2016],Moto3,
42,Rider,Alessandro Tonucci,27.695093229813306,0.8586398152542718,25.119173784050492,65,2015-11-07,Mahindra MGP3O [2015],Moto3,
43,Rider,Isaac Viñales,29.378957180125838,0.852412001008639,26.82172117709992,68,2015-11-07,KTM RC 250 GP [2015],Moto3,
44,Rider,Álex Márquez,34.92862033401456,1.008319616267623,31.903661485211693,46,2014-11-08,Honda [2014],Moto3,
45,Rider,Giulian Pedone,28.06358031771298,1.5483355406214905,23.418573695848508,16,2012-11-10,Suter Honda [2012],Moto3,
46,Rider,Josep Rodríguez,25.93595824712409,2.5404407536027063,18.31463598631597,5,2012-11-10,FGR Honda [2012],Moto3,
47,Bike,MZ FTR [2012],25.20424689769566,4.267056057574444,12.403078724972328,1,2012-04-28,,Moto3,
48,Rider,Joan Olivé,24.364791678418985,3.5464968254538647,13.725301202057391,2,2012-08-25,KTM [2012],Moto3,
49,Rider,Manuel Tatasciore,25.96049856897624,4.2959939873281545,13.072516606991778,1,2012-05-05,Honda [2012],Moto3,
50,Rider,Kevin Hanus,23.569956201384354,2.0097260066613636,17.540778181400263,9,2015-08-15,Honda NSF250RW [2015],Moto3,
51,Rider,Armando Pontone,32.63306251019715,2.0988626611726353,26.336474526679243,8,2012-11-10,Ioda [2012],Moto3,
52,Rider,John McPhee,27.158486674241665,0.7324581001890619,24.961112373674478,176,2022-11-05,Husqvarna FR 250 GP [2022],Moto3,
53,Bike,KRP Honda [2012],24.379378988255482,2.0676103069978446,18.176548067261947,8,2012-11-10,,Moto3,
54,Rider,Fraser Rogers,23.710389585333694,4.362374132771273,10.623267187019874,1,2012-06-16,KRP Honda [2012],Moto3,
55,Rider,Bryan Schouten,26.38563841568169,1.5696017706541272,21.67683310371931,15,2014-09-13,Mahindra MGP3O [2014],Moto3,
56,Rider,Julián Miralles Jr.,24.94105154730135,4.298369894324006,12.04594186432933,1,2012-06-29,Honda [2012],Moto3,
57,Rider,Luca Grünwald,25.729979323261805,1.3490923058245898,21.682702405788035,21,2018-07-14,KTM RC 250 GP [2018],Moto3,
58,Rider,Kevin Calia,24.83043918796642,3.597030598320927,14.039347393003638,2,2012-09-15,Honda [2012],Moto3,
59,Rider,Michael Ruben Rinaldi,25.427783461428778,2.7988013658852684,17.03137936377297,4,2014-05-17,Mahindra MGP3O [2014],Moto3,
60,Rider,Riccardo Moretti,20.02277889809852,3.186487071594155,10.463317683316053,4,2012-10-27,Mahindra MGP3O [2012],Moto3,
61,Rider,Miroslav Popov,25.68599359582205,2.8000466736254497,17.2858535749457,4,2012-11-10,Mahindra MGP3O [2012],Moto3,
62,Rider,Stefano Valtulini,24.091715229139115,1.450694287928539,19.7396323653535,18,2016-11-12,Mahindra MGP3O [2016],Moto3,
63,Rider,Luca Amato,23.463838650336484,1.6442134963768786,18.53119816120585,14,2013-11-09,Mahindra MGP3O [2013],Moto3,
64,Rider,Juan Francisco Guevara,26.654235275188356,0.7960520236660705,24.266079204190145,87,2017-11-11,KTM RC 250 GP [2017],Moto3,
65,Rider,Jorge Navarro,28.599868593046047,0.9879629118826374,25.635979857398134,46,2016-11-12,Honda NSF250RW [2016],Moto3,
66,Rider,Hyuga Watanabe,24.528219567564317,1.499330520483503,20.03022800611381,17,2013-11-09,FTR Honda [2013],Moto3,
67,Rider,Yuudai Kamei,24.40445411959563,4.307431714408826,11.482158976369153,1,2012-10-13,Honda [2012],Moto3,
68,Rider,Lincoln Gilding,24.96698216336019,4.310872696825868,12.034364072882585,1,2012-10-27,Honda [2012],Moto3,
69,Rider,Sam Clarke,24.603849863306493,4.314565849028439,11.660152316221177,1,2012-10-27,Honda [2012],Moto3,
70,Rider,Philipp Öttl,28.938057454440735,0.769529100604339,26.629470152627718,102,2018-11-17,KTM RC 250 GP [2018],Moto3,
71,Bike,KTM [2013],29.110869235852476,1.540123495784504,24.490498748498965,17,2013-11-09,,Moto3,
72,Bike,Kalex KTM [2013],23.69555744429448,1.4862681752652782,19.236752918498645,17,2013-11-09,,Moto3,
73,Bike,Mahindra MGP3O [2013],23.23403150950138,1.489139581869507,18.76661276389286,17,2013-11-09,,Moto3,
74,Bike,Suter Honda [2013],22.983031643510834,1.7976116118189747,17.59019680805391,11,2013-08-31,,Moto3,
75,Bike,FTR Honda [2013],22.904538519150258,1.4777443886630048,18.47130535316124,17,2013-11-09,,Moto3,
76,Bike,Honda [2013],21.78444480275543,2.30653767617472,14.864831774231272,7,2013-10-26,,Moto3,
77,Rider,Ana Carrasco,20.823594606187925,0.8153176659940087,18.3776416082059,79,2023-10-14,KTM RC 250 GP [2023],Moto3,
78,Bike,TSR Honda [2013],19.847104724930468,1.4865460614926296,15.387466540452579,17,2013-11-09,,Moto3,
79,Rider,Francesco Bagnaia,29.001946585820832,0.8493231990716337,26.45397698860593,69,2016-11-12,Mahindra MGP3O [2016],Moto3,
80,Rider,Matteo Ferrari,25.463141139792363,0.9635869092827469,22.572380411944124,47,2015-09-12,Mahindra MGP3O [2015],Moto3,
81,Rider,Florian Alt,21.98248581408936,1.8195262945158113,16.523906930541926,11,2013-11-09,Kalex KTM [2013],Moto3,
82,Rider,Eric Granado,23.653140926928426,1.1456102599392277,20.216310147110743,31,2014-10-11,KTM [2014],Moto3,
83,Rider,Lorenzo Baldassarri,24.191403733098483,1.4959485238105232,19.703558161666912,17,2013-11-09,FTR Honda [2013],Moto3,
84,Rider,Livio Loi,27.193786890326408,0.8072612936074679,24.772003009504004,81,2018-06-30,KTM RC 250 GP [2018],Moto3,
85,Bike,Mir [2013],17.94694503245523,3.6667641171413456,6.946652681031193,2,2013-11-09,,Moto3,
86,Rider,Christophe Arciero,23.70000452321437,4.838793661258564,9.183623539438678,1,2013-05-18,Suter [2013],Moto3,
87,Bike,Suter [2013],23.70000452321438,4.838793661258564,9.183623539438685,1,2013-05-18,,Moto3,
88,Rider,Jules Danilo,24.345865058620824,0.8318677603802228,21.850261777480156,73,2017-11-11,Honda NSF250RW [2017],Moto3,
89,Rider,Andrea Locatelli,26.393007227489,0.9473724980706778,23.550889733276968,49,2016-11-12,KTM RC 250 GP [2016],Moto3,
90,Rider,Michael Coletti,23.998622931992898,4.390968453972456,10.825717570075529,1,2013-06-01,Honda [2013],Moto3,
91,Rider,Andrea Migno,26.4149714806573,0.7345837403055417,24.211220259740674,155,2023-06-24,KTM RC 250 GP [2023],Moto3,
