Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
1,Rider,Sandro Cortese,42.521120130368274,1.6812172871147824,37.47746826902393,17,2012-11-09,KTM [2012],Moto3,
2,Bike,KTM [2012],32.92521377693423,1.5294304733130304,28.33692235699514,17,2012-11-09,,Moto3,
3,Rider,Maverick Viñales,42.89956305998162,1.2212985166254464,39.23566751010528,32,2013-11-08,KTM [2013],Moto3,
4,Bike,FTR Honda [2012],28.84730287361145,1.498578014549751,24.351568829962197,17,2012-11-09,,Moto3,
5,Rider,Louis Rossi,36.004222679680474,1.5046088828794724,31.490396031042057,17,2012-11-09,FTR Honda [2012],Moto3,
6,Rider,Luis Salom,41.62292302397434,1.1531479062468981,38.16347930523364,34,2013-11-08,KTM [2013],Moto3,
7,Bike,Kalex KTM [2012],26.314829267817096,1.5042388742132276,21.802112645177413,17,2012-11-09,,Moto3,
8,Rider,Niklas Ajo,29.184850543401065,0.889962318968911,26.514963586494332,59,2015-08-08,KTM RC 250 GP [2015],Moto3,
9,Rider,Romano Fenati,31.874813720807886,0.7394406956605615,29.6564916338262,163,2023-11-18,Honda NSF250RW [2023],Moto3,
10,Rider,Zulfahmi Khairuddin,28.817262044871367,0.8572191610544492,26.24560456170802,67,2015-11-06,KTM RC 250 GP [2015],Moto3,
11,Rider,Miguel Oliveira,40.610143507113065,0.8619852577437367,38.02418773388185,68,2015-11-06,KTM RC 250 GP [2015],Moto3,
12,Bike,Suter Honda [2012],23.48667376542494,1.503684948593238,18.975618919645225,17,2012-11-09,,Moto3,
13,Rider,Arthur Sissis,27.431436157656112,0.9936455113905842,24.450499623484358,44,2014-08-15,Mahindra MGP3O [2014],Moto3,
14,Rider,Alexis Masbou,33.835631990425156,0.838509610215767,31.320103159777855,72,2016-07-15,Peugeot MGP3O [2016],Moto3,
15,Bike,Honda [2012],24.527511197647403,1.5325875292363542,19.92974860993834,17,2012-11-09,,Moto3,
16,Rider,Alessandro Tonucci,30.954842634647893,0.8642747707283256,28.362018322462916,65,2015-11-06,Mahindra MGP3O [2015],Moto3,
17,Rider,Danny Kent,36.96379930382283,0.9518321920434165,34.10830272769258,53,2017-06-30,KTM RC 250 GP [2017],Moto3,
18,Rider,Álex Rins,41.42529631145825,0.982636566815268,38.47738661101244,52,2014-11-07,Honda [2014],Moto3,
19,Rider,Alberto Moncayo,34.165863649054195,1.5362585389441423,29.55708803222177,16,2012-10-26,FTR Honda [2012],Moto3,
20,Rider,Brad Binder,36.37569624232337,0.8085059190621967,33.95017848513678,87,2016-11-11,KTM RC 250 GP [2016],Moto3,
21,Rider,Héctor Faubel,36.31878791560732,1.7532082993421418,31.059163017580893,12,2012-11-09,FTR Honda [2012],Moto3,
22,Rider,Jasper Iwema,26.963925314424387,1.0932973125338756,23.68403337682276,36,2014-11-07,Mahindra MGP3O [2014],Moto3,
23,Bike,FGR Honda [2012],25.12737700435131,1.5182161247031605,20.572728630241826,17,2012-11-09,,Moto3,
24,Rider,Alan Techer,36.35560589282018,1.1626478730268952,32.86766227373949,30,2013-10-25,TSR Honda [2013],Moto3,
25,Bike,TSR Honda [2012],21.442046597331537,1.5500034115484949,16.79203636268605,17,2012-11-09,,Moto3,
26,Rider,Jakub Kornfeil,31.100240081191654,0.7399949236720553,28.88025531017549,141,2019-11-15,KTM RC 250 GP [2019],Moto3,
27,Rider,Niccolò Antonelli,32.692875791614114,0.7378445088774409,30.479342264981792,173,2021-11-12,KTM RC 250 GP [2021],Moto3,
28,Rider,Efrén Vázquez,35.8404000784374,0.861328703695815,33.25641396734995,67,2015-11-06,Honda NSF250RW [2015],Moto3,
29,Rider,Iván Moreno,20.489465546769388,2.0520188548534644,14.333408982208995,9,2012-07-13,FTR Honda [2012],Moto3,
30,Rider,Marcel Schrötter,29.90807614761773,2.2903793464536473,23.03693810825679,7,2012-07-06,Mahindra MGP3O [2012],Moto3,
31,Bike,Mahindra MGP3O [2012],18.10079813592563,1.663411333444404,13.110564135592417,17,2012-11-09,,Moto3,
32,Rider,Adrián Martín,30.709362412836455,1.5411604849703113,26.08588095792552,16,2012-11-09,FTR Honda [2012],Moto3,
33,Rider,Daniel Webb,31.102341255578438,1.4069096765969324,26.88161222578764,21,2016-06-24,Mahindra MGP3O [2016],Moto3,
34,Rider,Jack Miller,39.662501181823544,0.984920795922956,36.70773879405468,49,2014-11-07,KTM [2014],Moto3,
35,Rider,Isaac Viñales,33.83618954548677,0.851781964799898,31.280843651087075,68,2015-11-06,KTM RC 250 GP [2015],Moto3,
36,Rider,Kenta Fujii,21.41957713350275,1.6149861464917958,16.57461869402736,17,2012-11-09,TSR Honda [2012],Moto3,
37,Rider,Simone Grotzkyj Giorgi,27.96803701140483,2.166029609846592,21.469948181865057,8,2012-07-13,Suter Honda [2012],Moto3,
38,Bike,Oral [2012],19.489702304101126,3.305334110833469,9.57369997160072,3,2012-05-04,,Moto3,
39,Rider,Luigi Morciano,27.252929415693494,1.81516717064697,21.807427903752583,13,2012-11-09,Ioda [2012],Moto3,
40,Bike,Ioda [2012],15.52098421731712,1.60912623806787,10.69360550311351,17,2012-11-09,,Moto3,
41,Rider,Toni Finsterbusch,24.716671146764973,1.16203047410824,21.230579724440254,32,2013-11-08,Kalex KTM [2013],Moto3,
42,Bike,MZ-RE Honda [2012],21.376154359029126,4.41732785902947,8.124170781940716,1,2012-04-07,,Moto3,
43,Rider,Jonas Folger,42.354234042919984,1.1925988762081507,38.77643741429553,31,2013-11-08,Kalex KTM [2013],Moto3,
44,Rider,Álex Márquez,37.72486680195979,0.9988324430446239,34.72836947282592,46,2014-11-07,Honda [2014],Moto3,
45,Rider,Josep Rodríguez,23.596120298953906,2.414167940312593,16.35361647801613,6,2012-11-09,FGR Honda [2012],Moto3,
46,Bike,MZ FTR [2012],23.164952197117454,4.385296031814363,10.009064101674365,1,2012-04-27,,Moto3,
47,Rider,Giulian Pedone,24.61549754431293,1.6162200777851312,19.766837310957538,16,2012-11-09,Suter Honda [2012],Moto3,
48,Rider,Joan Olivé,21.10367285741363,3.5975010885669723,10.311169591712714,2,2012-08-24,KTM [2012],Moto3,
