Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
1,Rider,Harold Daniell,33.09519418285881,2.0342834728879082,26.992343764195088,10,1950-09-09,Norton [1950],MotoGP,
2,Bike,Norton [1949],22.84792493112499,2.5496632075446395,15.198935308491071,6,1949-09-03,,MotoGP,
3,Rider,Johnny Lockett,29.834985978751753,1.5882929605258922,25.070107097174077,17,1951-09-08,Norton [1951],MotoGP,
4,Rider,Ernie Lyons,30.578789694262834,4.542205140524263,16.952174272690044,1,1949-06-16,Velocette [1949],MotoGP,
5,Bike,Velocette [1949],24.854517320643545,3.034250852782572,15.75176476229583,4,1949-07-16,,MotoGP,
6,Rider,Artie Bell,34.336105891053855,2.3824462818032877,27.188767045643992,7,1950-07-01,Norton [1950],MotoGP,
7,Rider,Sidney Jensen,29.129124899750533,2.3494347080133813,22.08082077571039,7,1950-07-22,AJS [1950],MotoGP,
8,Bike,Triumph [1949],20.584259058345086,2.656948718445215,12.61341290300944,6,1949-09-03,,MotoGP,
9,Rider,Cyril Stevens,24.71237536438279,2.995595495439792,15.725588878063414,4,1952-06-15,Norton [1952],MotoGP,
10,Rider,Reg Armstrong,33.03276716598603,1.0371622181705968,29.92128051147424,47,1956-09-08,Gilera [1956],MotoGP,
11,Bike,AJS [1949],24.58632599243512,2.5117547017515185,17.051061887180566,6,1949-09-03,,MotoGP,
12,Rider,William Doran,34.67406951258868,1.6915576989279835,29.59939641580473,15,1953-07-04,AJS [1953],MotoGP,
13,Rider,Harry Hinton Sr.,31.802172180705597,2.3413422855616144,24.778145324020755,7,1950-07-22,Norton [1950],MotoGP,
14,Rider,Leslie Graham,29.738081284258758,1.2909212363096199,25.865317575329897,28,1953-06-11,MV Agusta [1953],MotoGP,
15,Rider,Philip Heath,25.393026454425105,1.4046395194034815,21.17910789621466,22,1955-08-12,Norton [1955],MotoGP,
16,Rider,William Petch,23.885530710190867,2.005085422802767,17.870274441782566,10,1952-07-19,Norton [1952],MotoGP,
17,Rider,Guy Newman,29.599965942484815,3.184747568071956,20.04572323826895,3,1951-06-07,Norton [1951],MotoGP,
18,Rider,Eric Mcpherson,28.196830040654664,2.9028409166040983,19.48830729084237,4,1950-07-07,Norton [1950],MotoGP,
19,Rider,Roy E. Evans,27.72127766759766,2.169983415546172,21.211327420959144,8,1955-08-12,Matchless [1955],MotoGP,
20,Rider,James William Beevers,26.576109188022883,1.5113314415693313,22.04211486331489,18,1960-06-16,Norton [1960],MotoGP,
21,Rider,Jack Bailey,28.302400763363305,1.9602172089568874,22.421749136492643,10,1955-06-09,Norton [1955],MotoGP,
22,Rider,Harry T. Turner,24.346946326798022,1.8337050399924182,18.84583120682077,12,1970-08-14,Norton [1970],MotoGP,
23,Rider,John Hodgkin,24.06607263046432,3.3887787156844937,13.899736483410837,3,1951-06-07,Vincent-HRD [1951],MotoGP,
24,Rider,Dick H. Addie,26.975933045703037,4.399899136642716,13.776235635774889,1,1949-06-16,Norton [1949],MotoGP,
25,Rider,Albert Moule,26.760900898939347,1.4093983751127694,22.532705773601037,21,1967-06-15,Norton [1967],MotoGP,
26,Rider,George Paterson,28.627228502687707,3.182294761496987,19.080344218196746,3,1951-06-07,AJS [1951],MotoGP,
27,Rider,Robert Matthews,24.20973533802062,1.362405350608631,20.122519286194727,24,1958-06-27,Norton [1958],MotoGP,
28,Rider,George Hayden,26.25166630324145,4.398478949187079,13.056229455680214,1,1949-06-16,Norton [1949],MotoGP,
29,Rider,John Purnell,26.07817348105578,4.398261416780516,12.883389230714235,1,1949-06-16,Norton [1949],MotoGP,
30,Rider,Lesly Hill,25.90601472161496,4.398058429176624,12.711839434085087,1,1949-06-16,Norton [1949],MotoGP,
31,Rider,Arthur Fenn,24.73255565775119,2.431510663790566,17.43802366637949,6,1954-08-21,Norton [1954],MotoGP,
32,Rider,Harry Francis,25.565753975871345,4.3977389246911205,12.372537201797984,1,1949-06-16,Norton [1949],MotoGP,
33,Rider,Eric Hardy,24.91249279882395,2.6053964291936835,17.0963035112429,5,1953-06-11,AJS [1953],MotoGP,
34,Rider,Jack Brett,31.58087457165304,1.09310297413615,28.30156564924459,39,1960-06-16,Norton [1960],MotoGP,
35,Rider,George Morrison,24.496977511983555,2.502009572607551,16.990948794160904,6,1950-07-01,Norton [1950],MotoGP,
36,Rider,Lennart Fenning,23.220967513952544,3.2083339047099253,13.595965799822768,3,1951-06-07,Norton [1951],MotoGP,
37,Rider,Robert Weston,20.87645257361262,2.784674802461208,12.522428166228996,5,1960-07-02,Norton [1960],MotoGP,
38,Rider,Joe Glazebrook,26.940517685059035,1.81910396237753,21.483205797926445,12,1960-06-16,Norton [1960],MotoGP,
39,Rider,Joe Dent,24.374983293417067,4.3980074313338715,11.180960999415452,1,1949-06-16,Norton [1949],MotoGP,
40,Rider,Sylvester Anderton,27.452836850845042,2.8640115038742806,18.8608023392222,4,1952-06-15,Norton [1952],MotoGP,
