Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
1,Rider,Harold Daniell,33.09482368358788,2.034283357640627,26.991973610666,10,1950-09-09,Norton [1950],MotoGP,
2,Bike,Norton [1949],22.848010578561762,2.5496631875827553,15.199021015813496,6,1949-09-03,,MotoGP,
3,Rider,Johnny Lockett,29.83457409206261,1.5882928800329292,25.069695451963824,17,1951-09-08,Norton [1951],MotoGP,
4,Rider,Ernie Lyons,30.57870074578998,4.5422054829216725,16.952084297024964,1,1949-06-16,Velocette [1949],MotoGP,
5,Bike,Velocette [1949],24.854421359173394,3.034250862339472,15.751668772154979,4,1949-07-16,,MotoGP,
6,Rider,Artie Bell,34.33576542112389,2.3824462864583356,27.188426561748884,7,1950-07-01,Norton [1950],MotoGP,
7,Rider,Sidney Jensen,29.12885780524647,2.3494346823920176,22.080553758070415,7,1950-07-22,AJS [1950],MotoGP,
8,Bike,Triumph [1949],20.584284780107883,2.6569489434477944,12.6134379497645,6,1949-09-03,,MotoGP,
9,Rider,Cyril Stevens,24.71214391825794,2.9955956341680414,15.725357015753815,4,1952-06-15,Norton [1952],MotoGP,
10,Rider,Reg Armstrong,33.03228120122786,1.0371621725032298,29.92079468371817,47,1956-09-08,Gilera [1956],MotoGP,
11,Bike,AJS [1949],24.586389287043488,2.5117545138259487,17.051125745565642,6,1949-09-03,,MotoGP,
12,Rider,William Doran,34.673695368539974,1.6915575002995316,29.59902286764138,15,1953-07-04,AJS [1953],MotoGP,
13,Rider,Harry Hinton Sr.,31.801808452083144,2.341342234104722,24.777781749768977,7,1950-07-22,Norton [1950],MotoGP,
14,Rider,Leslie Graham,29.73771108164459,1.2909211793415458,25.864947543619955,28,1953-06-11,MV Agusta [1953],MotoGP,
15,Rider,Philip Heath,25.392527394168454,1.4046394133781779,21.17860915403392,22,1955-08-12,Norton [1955],MotoGP,
16,Rider,William Petch,23.88517435119569,2.0050854745873963,17.8699179274335,10,1952-07-19,Norton [1952],MotoGP,
17,Rider,Guy Newman,29.5996701466279,3.184747513289195,20.045427606760317,3,1951-06-07,Norton [1951],MotoGP,
18,Rider,Eric Mcpherson,28.19652880712637,2.902840990605357,19.488005835310297,4,1950-07-07,Norton [1950],MotoGP,
19,Rider,Roy E. Evans,27.72081460170252,2.169983396617371,21.21086441185041,8,1955-08-12,Matchless [1955],MotoGP,
20,Rider,James William Beevers,26.575422155880492,1.5113316183732424,22.041427300760766,18,1960-06-16,Norton [1960],MotoGP,
21,Rider,Jack Bailey,28.30196649789319,1.9602172143811398,22.42131485474977,10,1955-06-09,Norton [1955],MotoGP,
22,Rider,Harry T. Turner,24.345978067895,1.8337049746937024,18.844863143813892,12,1970-08-14,Norton [1970],MotoGP,
23,Rider,John Hodgkin,24.065838198477554,3.3887786521926495,13.899502241899604,3,1951-06-07,Vincent-HRD [1951],MotoGP,
24,Rider,Dick H. Addie,26.975741984140463,4.399899095930254,13.7760446963497,1,1949-06-16,Norton [1949],MotoGP,
25,Rider,Albert Moule,26.759775269343358,1.4093991454573713,22.531577832971244,21,1967-06-15,Norton [1967],MotoGP,
26,Rider,George Paterson,28.627002299075794,3.182294724114084,19.08011812673354,3,1951-06-07,AJS [1951],MotoGP,
27,Rider,Robert Matthews,24.209116865547916,1.3624053774381062,20.1219007332336,24,1958-06-27,Norton [1958],MotoGP,
28,Rider,George Hayden,26.251478222705394,4.398478912176707,13.056041486175271,1,1949-06-16,Norton [1949],MotoGP,
29,Rider,John Purnell,26.0779861426071,4.398261381811967,12.883201997171199,1,1949-06-16,Norton [1949],MotoGP,
30,Rider,Lesly Hill,25.905827884433467,4.398058395915543,12.711652696686839,1,1949-06-16,Norton [1949],MotoGP,
31,Rider,Arthur Fenn,24.732201208546215,2.4315105868049165,17.437669448131466,6,1954-08-21,Norton [1954],MotoGP,
32,Rider,Harry Francis,25.565567616444433,4.397738893647232,12.372350935502737,1,1949-06-16,Norton [1949],MotoGP,
33,Rider,Eric Hardy,24.91214853618117,2.605396370074424,17.0959594259579,5,1953-06-11,AJS [1953],MotoGP,
34,Rider,Jack Brett,31.580097526194066,1.0931030044074452,28.30078851297173,39,1960-06-16,Norton [1960],MotoGP,
35,Rider,George Morrison,24.496638062551085,2.5020095368458577,16.990609452013512,6,1950-07-01,Norton [1950],MotoGP,
36,Rider,Lennart Fenning,23.2206700807449,3.208333947571373,13.595668238030779,3,1951-06-07,Norton [1951],MotoGP,
37,Rider,Robert Weston,20.875821040289864,2.7846745701062763,12.521797329971035,5,1960-07-02,Norton [1960],MotoGP,
38,Rider,Joe Glazebrook,26.939754979261085,1.8191041461235673,21.482442540890382,12,1960-06-16,Norton [1960],MotoGP,
39,Rider,Joe Dent,24.374798337043334,4.398007401086723,11.180776133783166,1,1949-06-16,Norton [1949],MotoGP,
40,Rider,Sylvester Anderton,27.452560660448484,2.864011453359388,18.86052630037032,4,1952-06-15,Norton [1952],MotoGP,
41,Rider,Sidney Barnett,24.66527627553125,2.6036105276919526,16.854444692455395,5,1954-06-17,Norton [1954],MotoGP,
42,Rider,Wilf Billington,22.86791455737012,3.2059984320110124,13.249919261337084,3,1952-06-15,Norton [1952],MotoGP,
43,Rider,Ernest Braine,25.38095579680843,2.455866088495334,18.013357531322427,6,1951-06-07,Norton [1951],MotoGP,
44,Rider,Charlie Brett,24.970489524140945,3.205081986919835,15.355243563381439,3,1951-06-07,Norton [1951],MotoGP,
45,Rider,Eric Briggs,24.84693983089259,2.3099503526174385,17.917088773040277,7,1951-06-07,Norton [1951],MotoGP,
46,Rider,Norman Croft,23.31254373871456,3.7110370069850047,12.179432717759546,2,1949-07-02,Triumph [1949],MotoGP,
47,Rider,Javier De Ortueta,25.247106221204355,2.291898260812193,18.371411438767776,7,1955-07-02,Norton [1955],MotoGP,
48,Rider,Leslie Dear,25.701889459931376,2.0524791487344287,19.54445201372809,9,1954-06-17,Norton [1954],MotoGP,
49,Rider,Robert Foster,26.209598337231647,2.088911948638607,19.942862491315825,9,1950-09-09,AJS [1950],MotoGP,
50,Bike,Moto Guzzi [1949],21.2379880368872,2.5395659066011356,13.619290317083792,6,1949-09-03,,MotoGP,
51,Rider,Edward Frend,25.615397815572535,1.912864650700588,19.87680386347077,11,1954-06-17,Norton [1954],MotoGP,
52,Rider,Freddie Frith,23.946723550634275,3.010628662346719,14.914837563594117,4,1949-07-16,Velocette [1949],MotoGP,
53,Rider,Arthur Good,21.858849043428837,4.408247147841731,8.634107599903643,1,1949-06-16,Norton [1949],MotoGP,
54,Rider,Sidney Lawton,27.386989042536253,2.069401916385358,21.178783293380178,9,1952-10-04,Norton [1952],MotoGP,
