Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
1,Rider,Mick Doohan,45.12462796546257,0.8655454211177684,42.52799170210927,116,1999-04-22,Honda NSR [1999],MotoGP,
2,Bike,Honda NSR [1995],28.871392236324326,1.2999063603105159,24.97167315539278,26,1995-10-05,,MotoGP,
3,Rider,Luca Cadalora,37.55000561047852,0.775153641734604,35.22454468527471,111,2000-08-17,Modenas KR3 [2000],MotoGP,
4,Bike,Yamaha YZR [1995],26.618408025797333,1.2660938019254988,22.820126620020837,26,1995-10-05,,MotoGP,
5,Rider,Daryl Beattie,29.94124624975115,0.90567771768149,27.22421309670668,60,1997-09-25,Suzuki RGV-B1 [1997],MotoGP,
6,Bike,Suzuki RGV-B1 [1995],37.0708015054053,1.295074575741412,33.18557777818106,26,1995-10-05,,MotoGP,
7,Rider,Alex Crivillé,35.477436644553116,0.7321294780608498,33.281048210370564,198,2001-10-31,Honda NSR [2001],MotoGP,
8,Rider,Loris Capirossi,34.60049755523259,0.7373669805881946,32.38839661346801,318,2011-11-04,Ducati Desmosedici GP11 [2011],MotoGP,
9,Rider,Alex Barros,33.88085372318088,0.7290597149308032,31.693674578388467,339,2007-11-02,Ducati Desmosedici GP7 [2007],MotoGP,
10,Rider,Kevin Schwantz,27.718039107892128,2.452155586699832,20.36157234779263,6,1995-04-20,Suzuki RGV-B1 [1995],MotoGP,
11,Rider,Alberto Puig,28.5573578516432,0.8517905155639577,26.001986304951327,71,1997-10-02,Honda NSR [1997],MotoGP,
12,Rider,Shinichi Ito,31.42466761577218,0.8888465988406401,28.75812781925026,64,2011-09-30,Honda RC211V [2011],MotoGP,
13,Rider,Norick Abe,29.33460190026138,0.7248638580937585,27.160010325980103,282,2004-10-29,Yamaha YZR-M1 [2004],MotoGP,
14,Rider,Sean Emmett,21.21887183365947,0.9985852677310592,18.223116030466294,46,1996-09-12,Harris 1996 [1996],MotoGP,
15,Bike,Harris 1996 [1995],23.751179841955246,1.2805276305607176,19.90959695027309,26,1995-10-05,,MotoGP,
16,Rider,Loris Reggiani,28.89536567695224,1.260286644166503,25.114505744452728,26,1995-10-05,Aprilia Rsw2 [1995],MotoGP,
17,Bike,Aprilia Rsw2 [1995],28.89536567695221,1.260286644166503,25.1145057444527,26,1995-10-05,,MotoGP,
18,Rider,Bernard Garcia,22.433882497549497,1.0366768188904325,19.3238520408782,43,1999-09-02,Muz [1999],MotoGP,
19,Bike,ROC V4 [1995],23.189482551545037,1.2593945903005759,19.41129878064331,26,1995-10-05,,MotoGP,
20,Rider,Adrian Bosshard,22.352653589731716,1.0120616189895413,19.31646873276309,45,1996-09-12,ROC V4 [1996],MotoGP,
21,Rider,Lucio Pedercini,24.095053599686064,0.8402093290985889,21.574425612390296,81,1997-10-02,ROC V4 [1997],MotoGP,
22,Rider,Jean-Pierre Jeandat,24.115959401666334,1.0825879470506685,20.86819556051433,39,1996-08-29,Paton Colombo [1996],MotoGP,
23,Bike,Paton Colombo [1995],18.520644900207092,1.2932787965355983,14.640808510600298,24,1995-10-05,,MotoGP,
24,Rider,Juan Borja,29.734311047537737,0.7476670519567705,27.491309891667427,136,1999-10-28,Honda NSR [1999],MotoGP,
25,Rider,Neil Hodgson,25.641994247596475,0.9068989825567771,22.921297299926145,58,2004-10-29,Ducati Desmosedici GP3 [2004],MotoGP,
26,Rider,Marc Garcia,19.65122105898769,1.2692493201610837,15.84347309850444,26,1999-09-16,Honda NSR-V [1999],MotoGP,
