Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
1,Rider,Aaron Slight,38.898320628106084,0.7943461592414832,36.51528215038164,102,2000-10-14,Honda VTR 1000 SP [2000],World Superbikes,
2,Bike,Honda RVF 750 / RC45 [1998],33.22142777031513,1.1557451601348336,29.75419228991063,34,1998-10-03,,World Superbikes,
3,Rider,Peter Goddard,34.00671314246372,0.7695444752759918,31.698079716635743,112,2002-09-27,Benelli Tornado 900 [2002],World Superbikes,
4,Bike,Suzuki GSX-R 750 [1998],29.306488606151124,1.1486388815798423,25.860571961411598,34,1998-10-03,,World Superbikes,
5,Rider,Noriyuki Haga,34.8559051286833,0.7295565901358704,32.66723535827568,502,2013-06-28,BMW S1000 RR [2013],World Superbikes,
6,Bike,Yamaha YZF 750 R [1998],26.631987511846912,1.1207624997779417,23.269700012513088,34,1998-10-03,,World Superbikes,
7,Rider,Troy Corser,40.28521832912252,0.7273703282484616,38.103107344377136,520,2011-10-14,BMW S1000 RR [2011],World Superbikes,
8,Bike,Ducati 916 R [1998],32.85077647110105,1.1701689905152004,29.340269499555447,34,1998-10-03,,World Superbikes,
9,Rider,Carl Fogarty,41.037143756597224,0.8559790756484937,38.46920652965174,79,2000-04-22,Ducati 996 [2000],World Superbikes,
10,Bike,Ducati 996 [1998],29.500678058252685,1.1222895563419562,26.133809389226816,34,1998-10-03,,World Superbikes,
11,Rider,Pierfrancesco Chili,33.80116087451017,0.7276972652365284,31.61806907880058,303,2006-10-05,Honda CBR 1000RR Fireblade [2006],World Superbikes,
12,Rider,Colin Edwards,41.939486206587326,0.7673820713155457,39.63733999264069,188,2002-09-28,Honda VTR 1000 SP2 [2002],World Superbikes,
13,Rider,Jamie Whitham,35.58800502851928,1.1305859221743448,32.19624726199624,33,1998-10-03,Suzuki GSX-R 750 [1998],World Superbikes,
14,Rider,Akira Yanagawa,39.68031677622236,0.7426871761102072,37.45225524789174,143,2010-07-30,Kawasaki ZX 10R [2010],World Superbikes,
15,Bike,Kawasaki ZX7R 750 [1998],27.28292151417985,1.1279933579768995,23.898941440249153,34,1998-10-03,,World Superbikes,
16,Rider,Mark Willis,31.951574137850734,3.130274342593457,22.560751110070363,3,1998-03-21,Suzuki GSX-R 750 [1998],World Superbikes,
17,Rider,Craig Connell,35.0147114505541,2.3895249249161084,27.846136675805777,6,1999-04-17,Ducati [1999],World Superbikes,
18,Bike,Ducati [1998],25.79312229353087,1.174838023042742,22.268608224402644,33,1998-10-03,,World Superbikes,
19,Rider,Steve Martin,29.368095653041642,0.7309815961677325,27.175150864538445,224,2009-05-15,BMW S1000 RR [2009],World Superbikes,
20,Rider,Alessandro Gramigni,27.1200540220628,0.788992266663227,24.753077222073117,97,2005-09-30,Yamaha YZF-R1 [2005],World Superbikes,
21,Rider,Scott Russell,36.08400974519842,1.1397089684489985,32.66488283985143,33,1998-10-03,Yamaha YZF 750 R [1998],World Superbikes,
22,Rider,Neil Hodgson,41.325345429707625,0.7569561987523996,39.05447683345042,157,2003-10-18,Ducati 999 F03 [2003],World Superbikes,
23,Rider,Lucio Pedercini,26.589266195261086,0.7298257567219317,24.39978892509529,227,2006-04-20,Ducati 999 RS [2006],World Superbikes,
24,Rider,Piergiorgio Bontempi,29.47350899522372,0.9792522629392519,26.535752206405967,49,2004-10-02,Suzuki GSX 1000R [2004],World Superbikes,
25,Rider,Igor Jerman,25.514727087544006,0.8751132360738012,22.889387379322603,68,2000-10-14,Kawasaki ZX-7 RR [2000],World Superbikes,
26,Rider,Shawn Giles,27.5627757486139,2.582348261164681,19.815730965119855,5,1999-04-17,Suzuki GSX-R 750 [1999],World Superbikes,
27,Bike,Honda [1998],27.80567421790819,1.4318411264038042,23.510150838696777,22,1998-10-03,,World Superbikes,
28,Rider,Malcolm Campbell,27.524940533824278,3.56254539785062,16.837304340272418,2,1998-03-21,Ducati [1998],World Superbikes,
29,Rider,Gregorio Lavilla,33.63632570392571,0.7246330693611339,31.462426495842312,254,2009-06-27,Ducati 1098R [2009],World Superbikes,
30,Rider,Alistair Maxwell,21.78215636929853,1.9013929372258822,16.077977557620883,12,2003-03-28,Honda CBR 900 RR [2003],World Superbikes,
31,Rider,Tony Rees,21.29659270752219,3.581364642282598,10.552498780674396,2,1998-03-21,Suzuki GSX-R 750 [1998],World Superbikes,
32,Rider,Daniel Vanolini,22.05249153203756,3.5957060230334847,11.265373462937106,2,1998-03-21,Ducati [1998],World Superbikes,
33,Rider,Jean-Marc Delétang,19.091399076880716,1.8549852508465292,13.526443324341129,12,1998-06-20,Yamaha [1998],World Superbikes,
34,Bike,Yamaha [1998],25.927111615578134,1.5223896836668414,21.359942564577608,20,1998-10-03,,World Superbikes,
35,Rider,Andrew Stroud,19.54058587043868,1.386036193429985,15.382477290148724,23,2005-04-01,Suzuki GSX 1000R [2005],World Superbikes,
36,Rider,Jiri Mrkyvka,10.214861871530877,0.8193170903401985,7.756910600510281,120,2006-07-21,Ducati 999 RS [2006],World Superbikes,
37,Rider,Frédéric Protat,19.29564465722869,0.9785454515239793,16.36000830265675,51,2003-10-17,Yamaha YZF-R1 [2003],World Superbikes,
38,Rider,Chris Ognenis,13.88476489283627,3.6892844454148115,2.816911556591835,2,1998-03-21,Suzuki GSX-R 750 [1998],World Superbikes,
39,Rider,Dean Fulton,21.02676703964424,3.6806755241807827,9.984740467101894,2,1998-03-21,Kawasaki [1998],World Superbikes,
40,Bike,Kawasaki [1998],20.112573962032116,1.5450238104126846,15.477502530794062,23,1998-10-03,,World Superbikes,
41,Rider,John Phelan,19.187701353764865,3.7256312867742367,8.010807493442154,2,1998-03-21,Kawasaki [1998],World Superbikes,
42,Rider,Scott Webster,11.646583271751746,2.6739048730024644,3.624868652744352,6,2000-04-22,Honda VTR 1000 [2000],World Superbikes,
43,Rider,Ed Miller,18.870541573618745,3.826747421053212,7.39029931045911,2,1998-03-21,Kawasaki [1998],World Superbikes,
44,Rider,Steve Hislop,44.84302702517092,1.4841894525982422,40.390458667376194,20,2002-05-25,Ducati 998 RS [2002],World Superbikes,
45,Rider,Niall Mackenzie,40.64974837303765,1.848255998828738,35.10498037655144,11,1999-07-31,Yamaha [1999],World Superbikes,
46,Rider,Chris Walker,36.534324915258765,0.7263615644586222,34.355240221882895,203,2008-10-31,Honda CBR1000RR [2008],World Superbikes,
47,Rider,Troy Bayliss,42.14168277449817,0.7640908499211255,39.8494102247348,228,2015-03-20,Ducati Panigale R [2015],World Superbikes,
48,Rider,James Haydon,35.92340869857288,1.02589821709252,32.84571404729532,43,2003-10-18,Petronas FP1 [2003],World Superbikes,
49,Rider,Terry Rymer,26.92040230523814,2.824175660041353,18.447875325114083,4,1998-08-01,Suzuki GSX-R 750 [1998],World Superbikes,
50,Rider,Sean Emmett,36.46948382203506,1.4116476177595427,32.234540968756434,20,2003-07-26,Ducati 998 RS [2003],World Superbikes,
51,Rider,Ian Simpson,25.088109662642694,3.6221227588218827,14.221741386177046,2,1998-04-12,Honda [1998],World Superbikes,
52,Rider,Jamie Robinson,23.63236301290876,3.639747246850417,12.713121272357508,2,1998-04-12,Ducati [1998],World Superbikes,
53,Rider,Oddgeir Havnen,11.411346394096569,3.362182845376362,1.3247978579674822,4,2000-09-09,Yamaha [2000],World Superbikes,
54,Rider,Andreas Meklau,31.29096432430314,0.8391213661222066,28.77360022593652,75,2004-05-28,Suzuki GSX 1000R [2004],World Superbikes,
55,Rider,Erkka Korpiaho,30.100329806560055,2.103170230040122,23.79081911643969,9,1998-09-05,Kawasaki [1998],World Superbikes,
56,Rider,Paolo Blora,20.196999077113148,1.0503313225786088,17.046005109377322,42,2005-06-24,Ducati 998 RS [2005],World Superbikes,
57,Rider,Giorgio Cantalupo,18.312040385653088,2.4131941536222627,11.072457924786299,6,1999-06-26,Ducati [1999],World Superbikes,
58,Rider,Fausto Pojer,17.238587994574942,3.6230541618536214,6.369425509014079,2,1998-05-09,Ducati [1998],World Superbikes,
59,Rider,Michal Bursa,21.48918273714138,3.6500871248097972,10.538921362711989,2,1998-05-09,Kawasaki [1998],World Superbikes,
60,Rider,Paolo Malvini,13.900099350589558,2.8664738517142436,5.300677795446827,4,1998-06-20,Ducati [1998],World Superbikes,
61,Rider,Gianni Valtulini,12.757194264023457,2.9160689569136706,4.008987393282446,4,1998-06-20,Yamaha [1998],World Superbikes,
62,Rider,Vladimir Karban,5.728275427083771,1.1965821726072978,2.1385289092618773,38,2000-06-03,Suzuki GSX-R 750 [2000],World Superbikes,
63,Rider,Jesus Rodriguez Pineda,11.002060691368436,3.872592046364898,-0.6157154477262576,2,1998-05-09,Ducati [1998],World Superbikes,
64,Rider,Bruno Scatola,14.005061932829674,2.984067279151367,5.052860095375573,4,1998-06-20,Yamaha [1998],World Superbikes,
65,Rider,Udo Mark,25.908942105270107,2.594400774921357,18.125739780506038,5,1998-06-20,Suzuki GSX-R 750 [1998],World Superbikes,
66,Rider,Ruben Xaus,36.92843125027998,0.7272439401061143,34.74669942996164,335,2011-09-23,Honda CBR1000RR [2011],World Superbikes,
67,Rider,Jonnie Ekerold,22.147103752211006,1.4750387549232897,17.721987487441137,20,2000-06-17,Honda VTR 1000 [2000],World Superbikes,
68,Rider,Robert Hueber,25.095532125614024,3.6748893482846245,14.07086408076015,2,1998-06-06,Kawasaki [1998],World Superbikes,
69,Rider,Franky Heidger,23.826038058752097,3.6876653804527173,12.763041917393945,2,1998-06-06,Kawasaki [1998],World Superbikes,
70,Rider,Uwe Pollheide,20.102487016980483,3.7437146383920603,8.871343101804301,2,1998-06-06,Kawasaki [1998],World Superbikes,
71,Rider,Lothar Kraus,9.701591432073421,2.758852140115836,1.4250350117259138,6,1999-09-11,Kawasaki [1999],World Superbikes,
72,Rider,Norman Manz,9.081469676369776,3.304344889150701,-0.8315649910823257,3,1999-09-11,Suzuki GSX-R 750 [1999],World Superbikes,
73,Rider,Massimo Accornero,19.543869283013635,3.5832023321759556,8.794262286485768,2,1998-06-20,Suzuki GSX-R 750 [1998],World Superbikes,
74,Rider,Marco Dall'Aglio,20.463928555571016,3.61638801168799,9.614764520507046,2,1998-06-20,Yamaha [1998],World Superbikes,
75,Rider,Stavros Stavroulakis,8.996640152455733,2.5767460493604624,1.2664020043743456,6,1999-06-26,Ducati [1999],World Superbikes,
76,Rider,Enzo Chiapello,15.604293658196978,3.7885717362673264,4.238578449394998,2,1998-06-20,Kawasaki [1998],World Superbikes,
77,Rider,Noel Haarhoff,21.73515165004842,3.724179004881538,10.562614635403804,2,1998-07-04,Ducati [1998],World Superbikes,
78,Rider,Clinton Pienaar,17.753678616212504,3.887499999798739,6.091178616816286,2,1998-07-04,Ducati [1998],World Superbikes,
79,Rider,Issy Zimmerman,14.391653219309696,4.242715093294665,1.6635079394257009,2,1998-07-04,Ducati [1998],World Superbikes,
80,Rider,Mathew Mladin,44.62166868296209,2.157567442674909,38.14896635493736,9,2003-07-12,Suzuki GSX 1000R [2003],World Superbikes,
81,Rider,Doug Chandler,42.205494741594414,2.109833629153259,35.875993854134634,9,2002-07-13,Ducati 998 R [2002],World Superbikes,
82,Rider,Jamie Hacking,35.22131997931891,1.6260804091203998,30.343078751957712,15,2009-06-26,Kawasaki ZX 10R [2009],World Superbikes,
83,Rider,Aaron Yates,40.10173795115226,2.0336770030199336,34.00070694209246,9,2003-07-12,Suzuki GSX 1000R [2003],World Superbikes,
84,Rider,Ben Bostrom,36.11801973845847,0.7446282382184161,33.884135023803225,154,2005-10-08,Honda [2005],World Superbikes,
85,Rider,Richard Oliver,29.410972314932952,3.6265950258202455,18.531187237472217,2,1998-07-11,Yamaha [1998],World Superbikes,
86,Rider,James Randolph,18.010569099127444,3.8434983202825266,6.480074138279864,2,1998-07-11,Honda [1998],World Superbikes,
87,Rider,Ricky Orlando,17.632919716202085,4.413595803070771,4.392132306989772,2,1998-07-11,Kawasaki [1998],World Superbikes,
88,Rider,John Reynolds,40.68284738072294,1.1011732546047233,37.37932761690877,36,2003-09-06,Suzuki [2003],World Superbikes,
89,Rider,Max Vincent,24.391941244947006,4.107668351277878,12.068936191113371,2,1998-08-01,Kawasaki ZX-7 RR [1998],World Superbikes,
90,Bike,Kawasaki ZX-7 RR [1998],24.39194124494701,4.107668351277878,12.068936191113375,2,1998-08-01,,World Superbikes,
91,Rider,Steve Marks,24.21942926040217,3.709393139393372,13.091249842222053,2,1998-08-01,Kawasaki [1998],World Superbikes,
92,Rider,Brett Sampson,17.16315965060722,3.722471721816383,5.99574448515807,2,1998-08-01,Honda [1998],World Superbikes,
93,Rider,Matt Llewellyn,20.89090061627378,3.751947963125998,9.635056726895785,2,1998-08-01,Ducati [1998],World Superbikes,
94,Rider,Mario Innamorati,30.622210605945348,2.3367168969908128,23.61205991497291,7,1998-10-03,Kawasaki [1998],World Superbikes,
95,Rider,Manfred Kainz,25.739558042031653,3.636304116863906,14.830645691439935,2,1998-08-29,Kawasaki [1998],World Superbikes,
96,Rider,Gerhard Esterer,22.858806153745935,3.6446575881232497,11.924833389376186,2,1998-08-29,Kawasaki [1998],World Superbikes,
97,Rider,Johann Wolfsteiner,19.019488025414937,2.4886366306583145,11.553578133439993,6,2001-03-09,Kawasaki ZX-7 RR [2001],World Superbikes,
98,Rider,Gernot Szakolczai,22.843456172583693,3.63640420198346,11.934243566633313,2,1998-08-29,Kawasaki [1998],World Superbikes,
99,Rider,Ossi Niederkircher,10.600402779049555,3.7806491014082937,-0.7415445251753265,2,1998-08-29,Suzuki GSX-R 750 [1998],World Superbikes,
100,Rider,Christian Zaiser,14.66388342419725,1.250232278280391,10.913186589356076,32,2008-10-31,Yamaha YZF-R1 [2008],World Superbikes,
101,Rider,Ali Guettouche,11.152686303097099,2.990175870192508,2.1821586925195753,4,1999-08-28,Ducati [1999],World Superbikes,
102,Rider,Franz Mundsperger,19.44362957061877,4.447649139150045,6.100682153168638,1,1998-08-29,Kawasaki [1998],World Superbikes,
103,Rider,Heinz Platacis,19.363108621774817,3.260471442495366,9.581694294288718,3,1999-09-04,Kawasaki [1999],World Superbikes,
104,Rider,Gijsbert Spilt,20.643870836762723,4.065906004525935,8.446152823184917,2,1998-09-05,Kawasaki [1998],World Superbikes,
