Id,Type,Name,Mean,StdDev,Date,Order,Bike,Series
2,Rider,Aaron Slight,36.1928140390305,6.9387737853139075,1998-03-22,0,Honda RVF 750 / RC45 [1998],World Superbikes
1,Bike,Honda RVF 750 / RC45 [1998],32.90889937455039,6.762931760850042,1998-03-22,0,,World Superbikes
4,Rider,Peter Goddard,33.98222615714283,6.728214915813877,1998-03-22,0,Suzuki GSX-R 750 [1998],World Superbikes
3,Bike,Suzuki GSX-R 750 [1998],26.518825904270734,6.607514880578348,1998-03-22,0,,World Superbikes
6,Rider,Noriyuki Haga,32.682359317752415,6.660588570112016,1998-03-22,0,Yamaha YZF 750 R [1998],World Superbikes
5,Bike,Yamaha YZF 750 R [1998],29.46925524441844,6.608270218646871,1998-03-22,0,,World Superbikes
8,Rider,Troy Corser,31.71537363714836,6.626646744145038,1998-03-22,0,Ducati 916 R [1998],World Superbikes
7,Bike,Ducati 916 R [1998],30.97649193065653,6.609479173394563,1998-03-22,0,,World Superbikes
10,Rider,Carl Fogarty,30.922775462608147,6.606077659943254,1998-03-22,0,Ducati 996 [1998],World Superbikes
9,Bike,Ducati 996 [1998],30.922775462608147,6.606077659943254,1998-03-22,0,,World Superbikes
11,Rider,Pierfrancesco Chili,30.2376102241647,6.592266895035797,1998-03-22,0,Ducati 916 R [1998],World Superbikes
12,Rider,Colin Edwards,29.624984710070272,6.58239396876767,1998-03-22,0,Honda RVF 750 / RC45 [1998],World Superbikes
13,Rider,Jamie Whitham,29.064230786617582,6.575045245501274,1998-03-22,0,Suzuki GSX-R 750 [1998],World Superbikes
15,Rider,Akira Yanagawa,28.541979095621592,6.569431612613011,1998-03-22,0,Kawasaki ZX7R 750 [1998],World Superbikes
14,Bike,Kawasaki ZX7R 750 [1998],24.628362004451944,6.560947537278302,1998-03-22,0,,World Superbikes
16,Rider,Mark Willis,28.048992783202355,6.565077762163095,1998-03-22,0,Suzuki GSX-R 750 [1998],World Superbikes
18,Rider,Craig Connell,27.57854474300354,6.561681223520554,1998-03-22,0,Ducati [1998],World Superbikes
17,Bike,Ducati [1998],25.116370406825492,6.5584715085960275,1998-03-22,0,,World Superbikes
19,Rider,Steve Martin,27.125511151823307,6.559041856500279,1998-03-22,0,Ducati [1998],World Superbikes
20,Rider,Alessandro Gramigni,26.685828930760607,6.557023892461874,1998-03-22,0,Ducati [1998],World Superbikes
21,Rider,Scott Russell,26.256151171084475,6.555534338633541,1998-03-22,0,Yamaha YZF 750 R [1998],World Superbikes
22,Rider,Neil Hodgson,25.833615776762496,6.554510216487711,1998-03-22,0,Kawasaki ZX7R 750 [1998],World Superbikes
23,Rider,Lucio Pedercini,25.415680907235284,6.553910894126706,1998-03-22,0,Ducati [1998],World Superbikes
24,Rider,Piergiorgio Bontempi,25.0000000000005,6.553713570702058,1998-03-22,0,Kawasaki ZX7R 750 [1998],World Superbikes
25,Rider,Igor Jerman,24.584319092765725,6.553910894126702,1998-03-22,0,Kawasaki ZX7R 750 [1998],World Superbikes
27,Rider,Shawn Giles,24.16638422323848,6.55451021648771,1998-03-22,0,Honda [1998],World Superbikes
26,Bike,Honda [1998],21.43459642966876,6.5764097944470254,1998-03-22,0,,World Superbikes
28,Rider,Malcolm Campbell,23.743848828916526,6.555534338633542,1998-03-22,0,Ducati [1998],World Superbikes
