Id,Type,Name,Year,Debut,Entries,Mean,StdDev,AvgMean,AvgStdDev,Bike,Series
2,Rider,Aaron Slight,1998,1,34,36.96586992126108,1.366656190571774,38.108299315240274,2.775658759172377,Honda RVF 750 / RC45 [1998],World Superbikes
2,Rider,Aaron Slight,1999,0,39,35.92834700298147,0.9503615112281298,35.67504032681393,1.0924935021492985,Honda RVF 750 / RC45 [1999],World Superbikes
2,Rider,Aaron Slight,2000,0,29,32.89195549066516,0.8299804264180276,33.807281601658346,0.8742228259673195,Honda VTR 1000 SP [2000],World Superbikes
1,Bike,Honda RVF 750 / RC45 [1998],1998,1,34,35.097540207520595,1.331951151067914,36.02796777874706,2.702313483172715,,World Superbikes
4,Rider,Peter Goddard,1998,1,33,35.30617014789467,1.2732720863569518,35.42532693608535,2.665601976547157,Suzuki GSX-R 750 [1998],World Superbikes
4,Rider,Peter Goddard,1999,0,37,35.37489607558254,0.9077856098425688,35.215868585474915,1.0443368822325354,Aprilia RSV 1000 [1999],World Superbikes
4,Rider,Peter Goddard,2000,0,12,34.79430079604056,0.8591764105062977,34.993308681174575,0.8737336428366429,Kawasaki ZX-7 RR [2000],World Superbikes
4,Rider,Peter Goddard,2001,0,12,34.49341620100276,0.8286784697688608,34.49255998347067,0.8422474417837317,Benelli Tornado 900 [2001],World Superbikes
4,Rider,Peter Goddard,2002,0,18,34.00395454572589,0.8022266579546072,34.23716385942324,0.8174379234775686,Benelli Tornado 900 [2002],World Superbikes
3,Bike,Suzuki GSX-R 750 [1998],1998,1,34,24.66392442079001,1.3245962638510833,23.855326553619644,2.660099967747155,,World Superbikes
6,Rider,Noriyuki Haga,1998,1,34,29.831446071906793,1.2536272220173175,31.75099697451188,2.5897386123435355,Yamaha YZF 750 R [1998],World Superbikes
6,Rider,Noriyuki Haga,1999,0,39,30.900245852368595,0.902160186505546,31.399788239789885,1.0334659808275397,Yamaha YZF-R7 [1999],World Superbikes
6,Rider,Noriyuki Haga,2000,0,34,32.96520186057553,0.8078434786656731,32.10904996566593,0.8474815314926651,Yamaha YZF-R7 [2000],World Superbikes
6,Rider,Noriyuki Haga,2002,0,39,32.37348269090078,0.7704297729726856,32.726596515640786,0.7901023120967503,Aprilia RSV 1000 [2002],World Superbikes
6,Rider,Noriyuki Haga,2004,0,33,32.80948027005717,0.7591339489440497,32.65565681829343,0.7681552365974206,Ducati [2004],World Superbikes
6,Rider,Noriyuki Haga,2005,0,33,32.9611127644961,0.7488073029171699,32.65439162680795,0.7580199098596961,Yamaha YZF-R1 [2005],World Superbikes
6,Rider,Noriyuki Haga,2006,0,35,34.83965419027875,0.7466234388593097,33.849186505903454,0.7518087510946703,Yamaha YZF-R1 [2006],World Superbikes
6,Rider,Noriyuki Haga,2007,0,39,36.26803212387952,0.7504642251143242,35.58083124049941,0.7531870713014985,Yamaha YZF-R1 [2007],World Superbikes
6,Rider,Noriyuki Haga,2008,0,41,36.57999313575781,0.7454296413851962,36.25098502163432,0.7513744886449301,Yamaha YZF-R1 [2008],World Superbikes
6,Rider,Noriyuki Haga,2009,0,65,34.698915975269955,0.7389595699467763,35.400437965953294,0.7447633082542329,Ducati 1098R [2009],World Superbikes
6,Rider,Noriyuki Haga,2010,0,53,32.13196961716271,0.7358552480230972,33.018392772930724,0.7404241061764935,Ducati 1098R [2010],World Superbikes
6,Rider,Noriyuki Haga,2011,0,55,32.548997630994705,0.7380297205467606,32.32868298074902,0.7415578911121545,Aprilia RS Cube [2011],World Superbikes
6,Rider,Noriyuki Haga,2013,0,2,31.985166051285045,0.7398882786254398,32.09646537424882,0.7395327523477182,BMW S1000 RR [2013],World Superbikes
5,Bike,Yamaha YZF 750 R [1998],1998,1,34,28.968460773405155,1.2552295277795402,29.86892093531446,2.5680513122855397,,World Superbikes
8,Rider,Troy Corser,1998,1,31,38.23391735251103,1.4673559691957552,38.319908449390454,2.8680163893589428,Ducati 916 R [1998],World Superbikes
8,Rider,Troy Corser,1999,0,39,36.73818034824418,1.0023227749022918,37.505517506634135,1.1784917367912904,Ducati 996 RS [1999],World Superbikes
8,Rider,Troy Corser,2000,0,39,38.94536595703202,0.8503202871500987,38.087511658316984,0.9105956206214113,Aprilia RSV 1000 [2000],World Superbikes
8,Rider,Troy Corser,2001,0,39,37.71835845000693,0.7912457678823244,38.551420807908855,0.8218195635590694,Aprilia RSV 1000 [2001],World Superbikes
8,Rider,Troy Corser,2003,0,35,38.2132999240808,0.7633954796594024,37.74331877796267,0.7804234171345142,Petronas FP1 [2003],World Superbikes
8,Rider,Troy Corser,2004,0,33,38.03035045508091,0.7530765878008391,37.94102050475572,0.762449766107327,Petronas FP1 [2004],World Superbikes
8,Rider,Troy Corser,2005,0,36,38.751012524584596,0.774549857369315,38.48696893859235,0.770152854750815,Suzuki GSX-R 1000 K5 [2005],World Superbikes
8,Rider,Troy Corser,2006,0,36,39.56728940497547,0.7665282883395612,39.22132380223648,0.7743038673277706,Suzuki GSX-R1000 K6 [2006],World Superbikes
8,Rider,Troy Corser,2007,0,39,39.94291562040331,0.7619731414736886,39.835726153769556,0.7686531741927057,Yamaha YZF-R1 [2007],World Superbikes
